"dok_data";"klientas";"suma";"turinys";"lesos_kodas";"lesos_pavadinimas";"pro_kodas";"pro_pavadinimas";"vf_kodas";"vf_pavadinimas";"eko_kodas";"eko_pavadinimas"
"2017-01-19";"Ðiauliø Romuvos progimnazija";"100,00000000";"Pagal paraiðkà Nr. S32-05, data 2017-01-18, suma 32 - 1900.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.2.1.1.1.15.";"Ilgalaikio materialiojo turto einamasis remontas"
"2017-03-07";"Ðiauliø sanatorinë mokykla";"400,00000000";"Pagal paraiðkà Nr. SPEC-16, data 2017-03-02, suma 32 - 400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-04-06";"Ðiauliø sanatorinë mokykla";"400,00000000";"Pagal paraiðkà Nr. Spec -22, data 2017-04-03, suma 32 - 400.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-02-02";"Ðiauliø Simono Daukanto gimnazija";"2400,00000000";"Pagal paraiðkà Nr. Spec -02, data 2017-02-01, suma 32 - 2700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-03-02";"Ðiauliø Simono Daukanto gimnazija";"2000,00000000";"Pagal paraiðkà Nr. Spec. 03, data 2017-03-02, suma 32 - 2300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-04-06";"Ðiauliø Simono Daukanto gimnazija";"2800,00000000";"Pagal paraiðkà Nr. Spec-04, data 2017-04-03, suma 32 - 4300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-03-02";"Ðiauliø Simono Daukanto gimnazija";"100,00000000";"Pagal paraiðkà Nr. Spec. 03, data 2017-03-02, suma 32 - 2300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.10.";"Kitos prekës"
"2017-04-06";"Ðiauliø Simono Daukanto gimnazija";"200,00000000";"Pagal paraiðkà Nr. Spec-04, data 2017-04-03, suma 32 - 4300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.10.";"Kitos prekës"
"2017-04-06";"Ðiauliø Simono Daukanto gimnazija";"500,00000000";"Pagal paraiðkà Nr. Spec-04, data 2017-04-03, suma 32 - 4300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.15.";"Ilgalaikio materialiojo turto einamasis remontas"
"2017-02-02";"Ðiauliø Simono Daukanto gimnazija";"300,00000000";"Pagal paraiðkà Nr. Spec -02, data 2017-02-01, suma 32 - 2700.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.30.";"Kitos paslaugos"
"2017-03-02";"Ðiauliø Simono Daukanto gimnazija";"200,00000000";"Pagal paraiðkà Nr. Spec. 03, data 2017-03-02, suma 32 - 2300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.30.";"Kitos paslaugos"
"2017-04-06";"Ðiauliø Simono Daukanto gimnazija";"800,00000000";"Pagal paraiðkà Nr. Spec-04, data 2017-04-03, suma 32 - 4300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.30.";"Kitos paslaugos"
"2017-04-06";"Ðiauliø Stasio Ðalkauskio gimnazija";"1000,00000000";"Pagal paraiðkà Nr. S-155, data 2017-04-03, suma 32 - 5300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.1.1.1.1.E.";"Darbo uþmokestis pinigais"
"2017-04-06";"Ðiauliø Stasio Ðalkauskio gimnazija";"300,00000000";"Pagal paraiðkà Nr. S-155, data 2017-04-03, suma 32 - 5300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.1.2.1.1.1.";"Socialinio draudimo ámokos"
"2017-03-07";"Ðiauliø Stasio Ðalkauskio gimnazija";"3200,00000000";"Pagal paraiðkà Nr. S-154, data 2017-03-03, suma 32 - 3200.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-04-06";"Ðiauliø Stasio Ðalkauskio gimnazija";"3300,00000000";"Pagal paraiðkà Nr. S-155, data 2017-04-03, suma 32 - 5300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-04-06";"Ðiauliø Stasio Ðalkauskio gimnazija";"400,00000000";"Pagal paraiðkà Nr. S-155, data 2017-04-03, suma 32 - 5300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.10.";"Kitos prekës"
"2017-04-06";"Ðiauliø Stasio Ðalkauskio gimnazija";"300,00000000";"Pagal paraiðkà Nr. S-155, data 2017-04-03, suma 32 - 5300.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.02.01.";"Mokyklos, priskiriamos vidurinës mokyklos tipui";"2.2.1.1.1.30.";"Kitos paslaugos"
"2017-03-07";"Ðiauliø Sutrikusios klausos vaikø ugdymo centras";"100,00000000";"Pagal paraiðkà Nr. SD-93(S32 PR.), data 2017-03-02, suma 32 - 200.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
"2017-04-06";"Ðiauliø Sutrikusios klausos vaikø ugdymo centras";"200,00000000";"Pagal paraiðkà Nr. SD-143(S 32 pr.), data 2017-04-03, suma 32 - 200.00";"32";"Atsitiktinës paslaugos";"08.02.01.01";"Ugdymo proceso (MK 94 %) ir aplinkos uþtikrinimas bendrojo ugdymo mokyklose";"09.02.01.01.";"Mokyklos, priskiriamos pagrindinës mokyklos tipui";"2.2.1.1.1.01.";"Mityba"
