"dok_data";"klientas";"suma";"turinys";"lesos_kodas";"lesos_pavadinimas";"pro_kodas";"pro_pavadinimas";"vf_kodas";"vf_pavadinimas";"eko_kodas";"eko_pavadinimas"
"2017-01-30";"Ðiauliø miesto savivaldybës administracija ";"-9000,00000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-13";"Ðiauliø miesto savivaldybës administracija ";"-7313,50000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-06";"Ðiauliø miesto savivaldybës administracija ";"-121000,00000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-13";"Ðiauliø miesto savivaldybës administracija ";"-9781,31000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-13";"Ðiauliø miesto savivaldybës administracija ";"-90974,62000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-30";"Ðiauliø miesto savivaldybës administracija ";"9000,00000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-13";"Ðiauliø miesto savivaldybës administracija ";"90974,62000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-13";"Ðiauliø miesto savivaldybës administracija ";"9781,31000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-13";"Ðiauliø miesto savivaldybës administracija ";"7313,50000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-06";"Ðiauliø miesto savivaldybës administracija ";"121000,00000000";"Perkeliamos lëðos";"151";"Savivaldybës biudþeto";"";"";"";"";"";""
"2017-01-03";"Valstybinë mokesèiø inspekcija prie LR FM";"-1093527,10000000";"Pajamos (uþ praëjusius metus)";"151";"Savivaldybës biudþeto";"";"";"";"";"1.1.1.1.1.1.1.";"Gyventojø pajamø mokestis (VMI)"
"2017-01-31";"Valstybinë mokesèiø inspekcija prie LR FM";"-2805832,47000000";"Pajamos";"151";"Savivaldybës biudþeto";"";"";"";"";"1.1.1.1.1.1.1.";"Gyventojø pajamø mokestis (VMI)"
"2017-01-10";"Lietuvos Respublikos finansø ministerija";"-290916,00000000";"Iðl.strukt.uþb.apyv.";"151";"Savivaldybës biudþeto";"";"";"";"";"1.1.1.1.1.1.2.";"Gyventojø pajamø mokestis savivaldybiø iðlaidø struktûros skirtumams iðlyginti"
"2017-01-18";"Lietuvos Respublikos  Aplinkos ministerija";"-175,00000000";"D1-AM";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-11";"Lietuvos Respublikos konkurencijos taryba";"-200,00000000";"2017/IK";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-13";"Lietuvos Respublikos þemës ûkio ministerija";"-600,00000000";"D2-ÞÛ";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-10";"Mobilizacijos ir pilietinio pasiprieðinimo departamentas prie Kraðto apsaugos ministerijos";"-1666,67000000";"D1-KR";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-10";"Prieðgaisrinës apsaugos ir gelbëjimo departamentas prie Vidaus reikalø ministerijos";"-8400,00000000";"D1-PG";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-24";"Lietuvos Respublikos  Aplinkos ministerija";"175,00000000";"gr. klaidingai pervesta D1-AM";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
